,Disease,Count of Disease Occurrence,Symptom,Diease_Code,Symptom_Code
52,,,UMLS:C0438716_pressure chest,UMLS:C0010054,UMLS:C0438716
53,,,UMLS:C0231807_dyspnea on exertion,UMLS:C0010054,UMLS:C0231807
54,,,UMLS:C0085619_orthopnea,UMLS:C0010054,UMLS:C0085619
55,,,UMLS:C0232292_chest tightness,UMLS:C0010054,UMLS:C0232292
56,UMLS:C0032285_pneumonia,1029.0,UMLS:C0010200_cough,UMLS:C0032285,UMLS:C0010200
57,,,UMLS:C0015967_fever,UMLS:C0032285,UMLS:C0015967
58,,,UMLS:C0029053_decreased translucency,UMLS:C0032285,UMLS:C0029053
59,,,UMLS:C0392680_shortness of breath,UMLS:C0032285,UMLS:C0392680
60,,,UMLS:C0034642_rale,UMLS:C0032285,UMLS:C0034642
61,,,UMLS:C0239134_productive cough,UMLS:C0032285,UMLS:C0239134
62,,,UMLS:C0008033_pleuritic pain,UMLS:C0032285,UMLS:C0008033
63,,,UMLS:C0457096_yellow sputum,UMLS:C0032285,UMLS:C0457096
64,,,UMLS:C0238844_breath sounds decreased,UMLS:C0032285,UMLS:C0238844
65,,,UMLS:C0085593_chill,UMLS:C0032285,UMLS:C0085593
66,,,UMLS:C0035508_rhonchus,UMLS:C0032285,UMLS:C0035508
67,,,UMLS:C0457097_green sputum,UMLS:C0032285,UMLS:C0457097
68,,,UMLS:C0850149_non-productive cough,UMLS:C0032285,UMLS:C0850149
69,,,UMLS:C0043144_wheezing,UMLS:C0032285,UMLS:C0043144
70,,,UMLS:C0019079_haemoptysis,UMLS:C0032285,UMLS:C0019079
71,,,UMLS:C0476273_distress respiratory,UMLS:C0032285,UMLS:C0476273
72,,,UMLS:C0231835_tachypnea,UMLS:C0032285,UMLS:C0231835
73,,,UMLS:C0231218_malaise,UMLS:C0032285,UMLS:C0231218
74,,,UMLS:C0028081_night sweat,UMLS:C0032285,UMLS:C0028081
75,UMLS:C0018802_failure heart congestive,963.0,UMLS:C0392680_shortness of breath,UMLS:C0018802,UMLS:C0392680
76,,,UMLS:C0085619_orthopnea,UMLS:C0018802,UMLS:C0085619
77,,,UMLS:C0240100_jugular venous distention,UMLS:C0018802,UMLS:C0240100
78,,,UMLS:C0034642_rale,UMLS:C0018802,UMLS:C0034642
79,,,UMLS:C0013404_dyspnea,UMLS:C0018802,UMLS:C0013404
80,,,UMLS:C0010200_cough,UMLS:C0018802,UMLS:C0010200
81,,,UMLS:C0043144_wheezing,UMLS:C0018802,UMLS:C0043144
82,UMLS:C0038454_accident cerebrovascular,885.0,UMLS:C0013362_dysarthria,UMLS:C0038454,UMLS:C0013362
83,,,UMLS:C0004093_asthenia,UMLS:C0038454,UMLS:C0004093
84,,,UMLS:C0234518_speech slurred,UMLS:C0038454,UMLS:C0234518
85,,,UMLS:C0427055_facial paresis,UMLS:C0038454,UMLS:C0427055
86,,,UMLS:C0018991_hemiplegia,UMLS:C0038454,UMLS:C0018991
87,,,UMLS:C0241526_unresponsiveness,UMLS:C0038454,UMLS:C0241526
88,,,UMLS:C0036572_seizure,UMLS:C0038454,UMLS:C0036572
89,,,UMLS:C0028643_numbness,UMLS:C0038454,UMLS:C0028643
90,UMLS:C0004096_asthma,835.0,UMLS:C0043144_wheezing,UMLS:C0004096,UMLS:C0043144
91,,,UMLS:C0010200_cough,UMLS:C0004096,UMLS:C0010200
92,,,UMLS:C0392680_shortness of breath,UMLS:C0004096,UMLS:C0392680
93,,,UMLS:C0232292_chest tightness,UMLS:C0004096,UMLS:C0232292
94,,,UMLS:C0850149_non-productive cough,UMLS:C0004096,UMLS:C0850149
95,,,UMLS:C0008033_pleuritic pain,UMLS:C0004096,UMLS:C0008033
96,,,UMLS:C0239134_productive cough,UMLS:C0004096,UMLS:C0239134
97,,,UMLS:C0436331_symptom aggravating factors,UMLS:C0004096,UMLS:C0436331
98,,,UMLS:C0476273_distress respiratory,UMLS:C0004096,UMLS:C0476273
99,UMLS:C0027051_myocardial infarction,759.0,UMLS:C0008031_pain chest,UMLS:C0027051,UMLS:C0008031
100,,,UMLS:C0520886_st segment elevation,UMLS:C0027051,UMLS:C0520886
101,,,UMLS:C0038990_sweat^UMLS:C0700590_sweating increased,UMLS:C0027051,UMLS:C0038990
102,,,UMLS:C0392680_shortness of breath,UMLS:C0027051,UMLS:C0392680
103,,,UMLS:C0520887_st segment depression,UMLS:C0027051,UMLS:C0520887
104,,,UMLS:C0086439_hypokinesia,UMLS:C0027051,UMLS:C0086439
105,,,UMLS:C0002962_angina pectoris,UMLS:C0027051,UMLS:C0002962
106,,,UMLS:C0438716_pressure chest,UMLS:C0027051,UMLS:C0438716
107,,,UMLS:C0520888_t wave inverted,UMLS:C0027051,UMLS:C0520888
108,,,UMLS:C0085619_orthopnea,UMLS:C0027051,UMLS:C0085619
109,,,UMLS:C0034642_rale,UMLS:C0027051,UMLS:C0034642
110,,,UMLS:C0232292_chest tightness,UMLS:C0027051,UMLS:C0232292
111,,,UMLS:C1305739_presence of q wave,UMLS:C0027051,UMLS:C1305739
112,,,UMLS:C0030252_palpitation,UMLS:C0027051,UMLS:C0030252
113,,,UMLS:C0013404_dyspnea,UMLS:C0027051,UMLS:C0013404
114,,,UMLS:C0235710_chest discomfort,UMLS:C0027051,UMLS:C0235710
115,,,UMLS:C0428977_bradycardia,UMLS:C0027051,UMLS:C0428977
116,,,UMLS:C0039070_syncope,UMLS:C0027051,UMLS:C0039070
117,UMLS:C0020443_hypercholesterolemia,685.0,UMLS:C0030193_pain,UMLS:C0020443,UMLS:C0030193
118,,,UMLS:C0008031_pain chest,UMLS:C0020443,UMLS:C0008031
119,,,UMLS:C0038990_sweat^UMLS:C0700590_sweating increased,UMLS:C0020443,UMLS:C0038990
120,,,UMLS:C0337672_nonsmoker,UMLS:C0020443,UMLS:C0337672
121,,,UMLS:C0438716_pressure chest,UMLS:C0020443,UMLS:C0438716
122,,,UMLS:C0039070_syncope,UMLS:C0020443,UMLS:C0039070
123,,,UMLS:C0028643_numbness,UMLS:C0020443,UMLS:C0028643
124,,,UMLS:C0235710_chest discomfort,UMLS:C0020443,UMLS:C0235710
125,,,UMLS:C0392680_shortness of breath,UMLS:C0020443,UMLS:C0392680
126,,,UMLS:C0520887_st segment depression,UMLS:C0020443,UMLS:C0520887
127,,,UMLS:C0233481_worry,UMLS:C0020443,UMLS:C0233481
128,,,UMLS:C0520888_t wave inverted,UMLS:C0020443,UMLS:C0520888
129,,,UMLS:C0428977_bradycardia,UMLS:C0020443,UMLS:C0428977
130,,,UMLS:C0013404_dyspnea,UMLS:C0020443,UMLS:C0013404
131,UMLS:C0021311_infection,630.0,UMLS:C0015967_fever,UMLS:C0021311,UMLS:C0015967
132,,,UMLS:C0041834_erythema,UMLS:C0021311,UMLS:C0041834
133,,,UMLS:C0029053_decreased translucency,UMLS:C0021311,UMLS:C0029053
134,,,UMLS:C0019214_hepatosplenomegaly,UMLS:C0021311,UMLS:C0019214
135,,,UMLS:C0085593_chill,UMLS:C0021311,UMLS:C0085593
136,,,UMLS:C0033774_pruritus,UMLS:C0021311,UMLS:C0033774
137,,,UMLS:C0011991_diarrhea,UMLS:C0021311,UMLS:C0011991
138,,,UMLS:C0549483_abscess bacterial,UMLS:C0021311,UMLS:C0549483
139,,,UMLS:C0038999_swelling,UMLS:C0021311,UMLS:C0038999
140,,,UMLS:C0030193_pain,UMLS:C0021311,UMLS:C0030193
141,,,UMLS:C0277797_apyrexial,UMLS:C0021311,UMLS:C0277797
142,,,UMLS:C0010200_cough,UMLS:C0021311,UMLS:C0010200
143,UMLS:C0042029_infection urinary tract,597.0,UMLS:C0015967_fever,UMLS:C0042029,UMLS:C0015967
144,,,UMLS:C0013428_dysuria,UMLS:C0042029,UMLS:C0013428
145,,,UMLS:C0018965_hematuria,UMLS:C0042029,UMLS:C0018965
146,,,UMLS:C0235634_renal angle tenderness,UMLS:C0042029,UMLS:C0235634
147,,,UMLS:C0023380_lethargy,UMLS:C0042029,UMLS:C0023380
148,,,UMLS:C0004093_asthenia,UMLS:C0042029,UMLS:C0004093
149,,,UMLS:C0020625_hyponatremia,UMLS:C0042029,UMLS:C0020625
150,,,UMLS:C0578150_hemodynamically stable,UMLS:C0042029,UMLS:C0578150
151,,,UMLS:C0476273_distress respiratory,UMLS:C0042029,UMLS:C0476273
152,,,UMLS:C0241705_difficulty passing urine,UMLS:C0042029,UMLS:C0241705
153,,,UMLS:C0856054_mental status changes,UMLS:C0042029,UMLS:C0856054
154,,,UMLS:C0239110_consciousness clear,UMLS:C0042029,UMLS:C0239110
155,UMLS:C0002871_anemia,544.0,UMLS:C0085593_chill,UMLS:C0002871,UMLS:C0085593
156,,,UMLS:C0744492_guaiac positive,UMLS:C0002871,UMLS:C0744492
157,,,UMLS:C0746619_monoclonal,UMLS:C0002871,UMLS:C0746619
158,,,UMLS:C0013491_ecchymosis,UMLS:C0002871,UMLS:C0013491
159,,,UMLS:C1269955_tumor cell invasion,UMLS:C0002871,UMLS:C1269955
160,,,UMLS:C0019080_haemorrhage,UMLS:C0002871,UMLS:C0019080
161,,,UMLS:C0030232_pallor,UMLS:C0002871,UMLS:C0030232
162,,,UMLS:C0004093_asthenia,UMLS:C0002871,UMLS:C0004093
163,,,UMLS:C0015672_fatigue,UMLS:C0002871,UMLS:C0015672
164,,,UMLS:C0744740_heme positive,UMLS:C0002871,UMLS:C0744740
165,,,UMLS:C0004604_pain back,UMLS:C0002871,UMLS:C0004604
166,,,UMLS:C0149746_orthostasis,UMLS:C0002871,UMLS:C0149746
167,,,UMLS:C0020625_hyponatremia,UMLS:C0002871,UMLS:C0020625
168,,,UMLS:C0012833_dizziness,UMLS:C0002871,UMLS:C0012833
169,,,UMLS:C0392680_shortness of breath,UMLS:C0002871,UMLS:C0392680
170,,,UMLS:C0030193_pain,UMLS:C0002871,UMLS:C0030193
171,,,UMLS:C0035508_rhonchus,UMLS:C0002871,UMLS:C0035508
172,,,UMLS:C0003862_arthralgia,UMLS:C0002871,UMLS:C0003862
173,,,UMLS:C0038999_swelling,UMLS:C0002871,UMLS:C0038999
174,,,UMLS:C1096646_transaminitis,UMLS:C0002871,UMLS:C1096646
175,UMLS:C0024117_chronic obstructive airway disease,524.0,UMLS:C0392680_shortness of breath,UMLS:C0024117,UMLS:C0392680
176,,,UMLS:C0043144_wheezing,UMLS:C0024117,UMLS:C0043144
177,,,UMLS:C0010200_cough,UMLS:C0024117,UMLS:C0010200
178,,,UMLS:C0013404_dyspnea,UMLS:C0024117,UMLS:C0013404
179,,,UMLS:C0476273_distress respiratory,UMLS:C0024117,UMLS:C0476273
180,,,UMLS:C0241235_sputum purulent,UMLS:C0024117,UMLS:C0241235
181,,,UMLS:C0700292_hypoxemia,UMLS:C0024117,UMLS:C0700292
182,,,UMLS:C0020440_hypercapnia,UMLS:C0024117,UMLS:C0020440
183,,,UMLS:C0376405_patient non compliance,UMLS:C0024117,UMLS:C0376405
184,,,UMLS:C0232292_chest tightness,UMLS:C0024117,UMLS:C0232292
185,UMLS:C0497327_dementia,504.0,UMLS:C0015967_fever,UMLS:C0497327,UMLS:C0015967
186,,,UMLS:C0085639_fall,UMLS:C0497327,UMLS:C0085639
187,,,UMLS:C0241526_unresponsiveness,UMLS:C0497327,UMLS:C0241526
188,,,UMLS:C0023380_lethargy,UMLS:C0497327,UMLS:C0023380
189,,,UMLS:C0085631_agitation,UMLS:C0497327,UMLS:C0085631
190,,,UMLS:C0013491_ecchymosis,UMLS:C0497327,UMLS:C0013491
191,,,UMLS:C0039070_syncope,UMLS:C0497327,UMLS:C0039070
192,,,UMLS:C0034642_rale,UMLS:C0497327,UMLS:C0034642
193,,,UMLS:C0041657_unconscious state,UMLS:C0497327,UMLS:C0041657
194,,,UMLS:C0010200_cough,UMLS:C0497327,UMLS:C0010200
195,,,UMLS:C0425251_bedridden^UMLS:C0741453_bedridden,UMLS:C0497327,UMLS:C0425251
196,,,UMLS:C0030193_pain,UMLS:C0497327,UMLS:C0030193
197,,,UMLS:C0427055_facial paresis,UMLS:C0497327,UMLS:C0427055
198,,,UMLS:C0232498_abdominal tenderness,UMLS:C0497327,UMLS:C0232498
199,,,UMLS:C0035508_rhonchus,UMLS:C0497327,UMLS:C0035508
200,,,UMLS:C1273573_unsteady gait,UMLS:C0497327,UMLS:C1273573
201,,,UMLS:C0233762_hallucinations auditory,UMLS:C0497327,UMLS:C0233762
202,UMLS:C1565489_insufficiency renal,445.0,UMLS:C0392680_shortness of breath,UMLS:C1565489,UMLS:C0392680
203,,,UMLS:C0020461_hyperkalemia,UMLS:C1565489,UMLS:C0020461
204,,,UMLS:C0085619_orthopnea,UMLS:C1565489,UMLS:C0085619
205,,,UMLS:C0034642_rale,UMLS:C1565489,UMLS:C0034642
206,,,UMLS:C0085606_urgency of micturition,UMLS:C1565489,UMLS:C0085606
207,,,UMLS:C0003962_ascites,UMLS:C1565489,UMLS:C0003962
208,,,UMLS:C0744492_guaiac positive,UMLS:C1565489,UMLS:C0744492
209,,,UMLS:C0004093_asthenia,UMLS:C1565489,UMLS:C0004093
210,,,UMLS:C0277797_apyrexial,UMLS:C1565489,UMLS:C0277797
211,,,UMLS:C0856054_mental status changes,UMLS:C1565489,UMLS:C0856054
212,,,UMLS:C0013404_dyspnea,UMLS:C1565489,UMLS:C0013404
213,,,UMLS:C1299586_difficulty,UMLS:C1565489,UMLS:C1299586
214,,,UMLS:C0011991_diarrhea,UMLS:C1565489,UMLS:C0011991
215,,,UMLS:C0020649_hypotension,UMLS:C1565489,UMLS:C0020649
216,,,UMLS:C0238844_breath sounds decreased,UMLS:C1565489,UMLS:C0238844
217,,,UMLS:C0038999_swelling,UMLS:C1565489,UMLS:C0038999
218,,,UMLS:C0086439_hypokinesia,UMLS:C1565489,UMLS:C0086439
219,UMLS:C0009676_confusion,408.0,UMLS:C0036572_seizure,UMLS:C0009676,UMLS:C0036572
220,,,UMLS:C0014394_enuresis,UMLS:C0009676,UMLS:C0014394
221,,,UMLS:C0023380_lethargy,UMLS:C0009676,UMLS:C0023380
222,,,UMLS:C0234518_speech slurred,UMLS:C0009676,UMLS:C0234518
223,,,UMLS:C0085639_fall,UMLS:C0009676,UMLS:C0085639
224,,,UMLS:C0239110_consciousness clear,UMLS:C0009676,UMLS:C0239110
225,,,UMLS:C0856054_mental status changes,UMLS:C0009676,UMLS:C0856054
226,,,UMLS:C0232766_asterixis,UMLS:C0009676,UMLS:C0232766
227,,,UMLS:C0041657_unconscious state,UMLS:C0009676,UMLS:C0041657
228,,,UMLS:C0085631_agitation,UMLS:C0009676,UMLS:C0085631
229,,,UMLS:C0231530_muscle twitch,UMLS:C0009676,UMLS:C0231530
230,,,UMLS:C0004093_asthenia,UMLS:C0009676,UMLS:C0004093
231,,,UMLS:C0234450_sleepy,UMLS:C0009676,UMLS:C0234450
232,,,UMLS:C0012833_dizziness,UMLS:C0009676,UMLS:C0012833
233,,,UMLS:C0018681_headache,UMLS:C0009676,UMLS:C0018681
234,,,UMLS:C0013362_dysarthria,UMLS:C0009676,UMLS:C0013362
235,,,UMLS:C0220870_lightheadedness,UMLS:C0009676,UMLS:C0220870
236,,,UMLS:C0040822_tremor,UMLS:C0009676,UMLS:C0040822
237,,,UMLS:C0020625_hyponatremia,UMLS:C0009676,UMLS:C0020625
238,,,UMLS:C0241526_unresponsiveness,UMLS:C0009676,UMLS:C0241526
239,UMLS:C0029408_degenerative polyarthritis,405.0,UMLS:C0030193_pain,UMLS:C0029408,UMLS:C0030193
240,,,UMLS:C0149696_food intolerance,UMLS:C0029408,UMLS:C0149696
241,,,UMLS:C0239832_numbness of hand,UMLS:C0029408,UMLS:C0239832
242,,,UMLS:C0858924_general discomfort,UMLS:C0029408,UMLS:C0858924
243,,,UMLS:C0013144_drowsiness,UMLS:C0029408,UMLS:C0013144
244,,,UMLS:C0004093_asthenia,UMLS:C0029408,UMLS:C0004093
245,,,UMLS:C0337672_nonsmoker,UMLS:C0029408,UMLS:C0337672
246,,,UMLS:C0850149_non-productive cough,UMLS:C0029408,UMLS:C0850149
247,,,UMLS:C0085602_polydypsia,UMLS:C0029408,UMLS:C0085602
248,,,UMLS:C0427008_stiffness,UMLS:C0029408,UMLS:C0427008
249,,,UMLS:C1273573_unsteady gait,UMLS:C0029408,UMLS:C1273573
250,UMLS:C0020676_hypothyroidism,398.0,UMLS:C0392680_shortness of breath,UMLS:C0020676,UMLS:C0392680
251,,,UMLS:C0242453_prostatism,UMLS:C0020676,UMLS:C0242453
252,,,UMLS:C0013144_drowsiness^UMLS:C0234450_sleepy,UMLS:C0020676,UMLS:C0013144
253,,,UMLS:C0020625_hyponatremia,UMLS:C0020676,UMLS:C0020625
254,,,UMLS:C0085639_fall,UMLS:C0020676,UMLS:C0085639
255,,,UMLS:C1273573_unsteady gait,UMLS:C0020676,UMLS:C1273573
256,,,UMLS:C0032617_polyuria,UMLS:C0020676,UMLS:C0032617
257,,,UMLS:C0020649_hypotension,UMLS:C0020676,UMLS:C0020649
258,,,UMLS:C1299586_difficulty,UMLS:C0020676,UMLS:C1299586
259,,,UMLS:C0039070_syncope,UMLS:C0020676,UMLS:C0039070
260,,,UMLS:C0028084_nightmare,UMLS:C0020676,UMLS:C0028084
261,,,UMLS:C0234518_speech slurred,UMLS:C0020676,UMLS:C0234518
262,,,UMLS:C0043094_weight gain,UMLS:C0020676,UMLS:C0043094
263,,,UMLS:C0004093_asthenia,UMLS:C0020676,UMLS:C0004093
264,,,UMLS:C0015672_fatigue^UMLS:C0557875_tired,UMLS:C0020676,UMLS:C0015672
265,,,UMLS:C0085631_agitation,UMLS:C0020676,UMLS:C0085631
266,,,UMLS:C0856054_mental status changes,UMLS:C0020676,UMLS:C0856054
267,,,UMLS:C0424230_motor retardation,UMLS:C0020676,UMLS:C0424230
268,,,UMLS:C0042963_vomiting,UMLS:C0020676,UMLS:C0042963
269,,,UMLS:C0028643_numbness,UMLS:C0020676,UMLS:C0028643
270,,,UMLS:C0577559_mass of body structure,UMLS:C0020676,UMLS:C0577559
271,UMLS:C0700613_anxiety state,390.0,UMLS:C0233481_worry,UMLS:C0700613,UMLS:C0233481
272,,,UMLS:C0424000_feeling suicidal,UMLS:C0700613,UMLS:C0424000
273,,,UMLS:C0438696_suicidal,UMLS:C0700613,UMLS:C0438696
274,,,UMLS:C0917801_sleeplessness,UMLS:C0700613,UMLS:C0917801
275,,,UMLS:C0150041_feeling hopeless,UMLS:C0700613,UMLS:C0150041
276,,,UMLS:C0022107_irritable mood,UMLS:C0700613,UMLS:C0022107
277,,,UMLS:C0040822_tremor,UMLS:C0700613,UMLS:C0040822
278,,,UMLS:C0312422_blackout,UMLS:C0700613,UMLS:C0312422
279,,,UMLS:C0424109_weepiness,UMLS:C0700613,UMLS:C0424109
280,,,UMLS:C0557075_has religious belief,UMLS:C0700613,UMLS:C0557075
281,,,UMLS:C0027769_nervousness,UMLS:C0700613,UMLS:C0027769
282,,,UMLS:C0233763_hallucinations visual,UMLS:C0700613,UMLS:C0233763
283,,,UMLS:C0016579_formication,UMLS:C0700613,UMLS:C0016579
284,,,UMLS:C1299586_difficulty,UMLS:C0700613,UMLS:C1299586
285,,,UMLS:C0008031_pain chest,UMLS:C0700613,UMLS:C0008031
286,,,UMLS:C0376405_patient non compliance,UMLS:C0700613,UMLS:C0376405
287,,,UMLS:C0085631_agitation,UMLS:C0700613,UMLS:C0085631
288,,,UMLS:C0030252_palpitation,UMLS:C0700613,UMLS:C0030252
289,,,UMLS:C0233762_hallucinations auditory,UMLS:C0700613,UMLS:C0233762
290,,,UMLS:C0344315_mood depressed,UMLS:C0700613,UMLS:C0344315
291,,,UMLS:C0600142_hot flush,UMLS:C0700613,UMLS:C0600142
292,,,UMLS:C0030193_pain,UMLS:C0700613,UMLS:C0030193
293,,,UMLS:C0239110_consciousness clear,UMLS:C0700613,UMLS:C0239110
294,,,UMLS:C0028084_nightmare,UMLS:C0700613,UMLS:C0028084
295,UMLS:C0006826_malignant neoplasms^UMLS:C1306459_primary malignant neoplasm,354.0,UMLS:C0030193_pain,UMLS:C0006826,UMLS:C0030193
296,,,UMLS:C0577559_mass of body structure,UMLS:C0006826,UMLS:C0577559
297,,,UMLS:C0221198_lesion,UMLS:C0006826,UMLS:C0221198
298,,,UMLS:C0332601_cushingoid facies^UMLS:C0878661_cushingoid habitus,UMLS:C0006826,UMLS:C0332601
299,,,UMLS:C0743482_emphysematous change,UMLS:C0006826,UMLS:C0743482
300,,,UMLS:C0043096_decreased body weight,UMLS:C0006826,UMLS:C0043096
301,,,UMLS:C0003962_ascites,UMLS:C0006826,UMLS:C0003962
302,,,UMLS:C0019825_hoarseness,UMLS:C0006826,UMLS:C0019825
303,,,UMLS:C0205400_thicken,UMLS:C0006826,UMLS:C0205400
304,,,UMLS:C0018965_hematuria,UMLS:C0006826,UMLS:C0018965
305,UMLS:C0001175_acquired immuno-deficiency syndrome^UMLS:C0019682_HIV^UMLS:C0019693_hiv infections,350.0,UMLS:C0015967_fever,UMLS:C0001175,UMLS:C0015967
306,,,UMLS:C0028081_night sweat,UMLS:C0001175,UMLS:C0028081
307,,,UMLS:C0233308_spontaneous rupture of membranes,UMLS:C0001175,UMLS:C0233308
308,,,UMLS:C0010200_cough,UMLS:C0001175,UMLS:C0010200
309,,,UMLS:C0032739_,UMLS:C0001175,UMLS:C0032739
310,,,UMLS:C0043096_decreased body weight,UMLS:C0001175,UMLS:C0043096
311,,,UMLS:C0085593_chill,UMLS:C0001175,UMLS:C0085593
312,,,UMLS:C0011991_diarrhea,UMLS:C0001175,UMLS:C0011991
313,,,UMLS:C0008033_pleuritic pain,UMLS:C0001175,UMLS:C0008033
314,,,UMLS:C0376405_patient non compliance,UMLS:C0001175,UMLS:C0376405
315,,,UMLS:C0231835_tachypnea,UMLS:C0001175,UMLS:C0231835
316,,,UMLS:C0239134_productive cough,UMLS:C0001175,UMLS:C0239134
317,,,UMLS:C0026827_muscle hypotonia^UMLS:C0241938_hypotonic,UMLS:C0001175,UMLS:C0026827
318,,,UMLS:C0424000_feeling suicidal,UMLS:C0001175,UMLS:C0424000
319,UMLS:C0007642_cellulitis,341.0,UMLS:C0041834_erythema,UMLS:C0007642,UMLS:C0041834
320,,,UMLS:C0030193_pain,UMLS:C0007642,UMLS:C0030193
321,,,UMLS:C0038999_swelling,UMLS:C0007642,UMLS:C0038999
322,,,UMLS:C0332575_redness,UMLS:C0007642,UMLS:C0332575
323,,,UMLS:C0015967_fever,UMLS:C0007642,UMLS:C0015967
324,,,UMLS:C0549483_abscess bacterial,UMLS:C0007642,UMLS:C0549483
325,,,UMLS:C0376405_patient non compliance,UMLS:C0007642,UMLS:C0376405
326,,,UMLS:C0020580_hypesthesia,UMLS:C0007642,UMLS:C0020580
327,,,UMLS:C0034880_hyperacusis,UMLS:C0007642,UMLS:C0034880
328,,,UMLS:C0033774_pruritus,UMLS:C0007642,UMLS:C0033774
329,,,UMLS:C0008031_pain chest,UMLS:C0007642,UMLS:C0008031
330,,,UMLS:C1384489_scratch marks,UMLS:C0007642,UMLS:C1384489
331,,,UMLS:C0085593_chill,UMLS:C0007642,UMLS:C0085593
332,,,UMLS:C0234233_sore to touch,UMLS:C0007642,UMLS:C0234233
